Referência,Data,Data de check-in,Data de check-out,Aluguer com imposto,Aluguer sem imposto,Imposto do aluguer,Extras com imposto,Extras sem imposto,Imposto dos extras,Total da reserva com imposto,Total da reserva sem imposto,Total imposto,Pagamento,Pendente,Nome alojamento,Localidade,Portal,Comissão portal/intermediário: comissão calculada,Comissão portal/intermediário: comissão personalizada
26,11-01-2023,28-02-2023,01-03-2023,1887,1887,0,219,219,0,2106,2106,0,2106,0,390,Florianópolis,Airbnb.com,283.05,
27,18-12-2022,21-12-2022,27-12-2022,3175.86,3175.86,0,287,287,0,3462.86,3462.86,0,3462.86,0,218,Florianópolis,Booking.com,,450.1700134277344
28,10-12-2022,15-02-2023,16-02-2023,1964.64,1964.64,0,333,333,0,2297.64,2297.64,0,2297.64,0,168,Florianópolis,Booking.com,,298.6900024414062
29,29-11-2022,09-12-2022,10-12-2022,1820,1820,0,266,266,0,2086,2086,0,2086,0,174,Florianópolis,Airbnb.com,273,
30,28-12-2022,05-01-2023,08-01-2023,4055,4055,0,410,410,0,4465,4465,0,4465,0,123,Florianópolis,Airbnb.com,608.25,
31,22-01-2023,19-02-2023,20-02-2023,1051.86,1051.86,0,180,180,0,1231.86,1231.86,0,1231.86,0,160,Florianópolis,Booking.com,,160.1399993896484
32,08-01-2023,18-01-2023,21-01-2023,0,0,0,0,0,0,0,0,0,0,0,135,Florianópolis,,,
33,10-01-2023,12-01-2023,16-01-2023,1096.34,1096.34,0,146,146,0,1242.34,1242.34,0,1242.34,0,221,Florianópolis,Booking.com,,161.5
34,02-01-2023,16-02-2023,26-02-2023,1075,1075,0,174,174,0,1249,1249,0,1249,0,322,Florianópolis,Airbnb.com,161.25,
35,09-12-2022,28-12-2022,05-01-2023,0,0,0,305,305,0,305,305,0,0,305,190,Florianópolis,,,
36,18-12-2022,07-01-2023,10-01-2023,2572.86,2572.86,0,248,248,0,2820.86,2820.86,0,2820.86,0,177,Itapema,Booking.com,,366.7099914550781
37,15-01-2023,17-02-2023,22-02-2023,4147,4147,0,305,305,0,4452,4452,0,4452,0,194,Florianópolis,Airbnb.com,622.05,
38,04-01-2023,14-02-2023,21-02-2023,0,0,0,0,0,0,0,0,0,0,0,371,Balneário Camboriú,,,
39,07-01-2023,30-01-2023,02-02-2023,2175,2175,0,233,233,0,2408,2408,0,2408,0,357,Florianópolis,Airbnb.com,326.25,
40,10-12-2022,15-02-2023,16-02-2023,2351,2351,0,331,331,0,2682,2682,0,2682,0,296,Florianópolis,Airbnb.com,352.65,
41,28-12-2022,02-01-2023,09-01-2023,1829,1829,0,266,266,0,2095,2095,0,2095,0,236,Florianópolis,Airbnb.com,274.35,
42,06-01-2023,21-02-2023,22-02-2023,2204,2204,0,251,251,0,2455,2455,0,2455,0,199,Florianópolis,Airbnb.com,330.6,
43,23-01-2023,28-01-2023,06-02-2023,0,0,0,0,0,0,0,0,0,0,0,141,Florianópolis,,,
44,22-12-2022,02-01-2023,03-01-2023,0,0,0,0,0,0,0,0,0,0,0,341,Florianópolis,,,
45,30-11-2022,29-12-2022,02-01-2023,1092,1092,0,168,168,0,1260,1260,0,1260,0,381,Florianópolis,Airbnb.com,163.8,
46,23-12-2022,18-02-2023,23-02-2023,49,49,0,0,0,0,49,49,0,0,49,286,Balneário Camboriú,,,
47,27-11-2022,08-12-2022,12-12-2022,0,0,0,0,0,0,0,0,0,0,0,391,Florianópolis,,,
48,29-11-2022,08-12-2022,12-12-2022,0,0,0,0,0,0,0,0,0,0,0,138,Florianópolis,,,
49,28-11-2022,30-12-2022,09-01-2023,0,0,0,0,0,0,0,0,0,0,0,329,Florianópolis,,,
50,03-12-2022,19-12-2022,20-12-2022,0,0,0,0,0,0,0,0,0,0,0,233,Florianópolis,,,
51,16-12-2022,18-01-2023,21-01-2023,1012,1012,0,228,228,0,1240,1240,0,1240,0,115,Florianópolis,Airbnb.com,151.8,
52,22-12-2022,04-01-2023,07-01-2023,5299.84,5299.84,0,331,331,0,5630.84,5630.84,0,5630.84,0,149,Florianópolis,Booking.com,,732.010009765625
53,19-01-2023,12-02-2023,20-02-2023,5430,5430,0,178,178,0,5608,5608,0,5608,0,393,Florianópolis,Airbnb.com,814.5,
54,02-01-2023,08-01-2023,09-01-2023,906,906,0,189,189,0,1095,1095,0,1095,0,298,Florianópolis,Airbnb.com,135.9,
55,16-01-2023,06-02-2023,07-02-2023,2410.05,2410.05,0,271,271,0,2681.05,2681.05,0,0,2681.05,393,Florianópolis,Anfitrioesdealuguel.com.br,241.005,
56,23-01-2023,17-02-2023,21-02-2023,2052.26,2052.26,0,333,333,0,2385.26,2385.26,0,2385.26,0,328,Florianópolis,Booking.com,,310.0799865722656
57,02-01-2023,03-01-2023,08-01-2023,1200.84,1200.84,0,138,138,0,1338.84,1338.84,0,1338.84,0,107,Florianópolis,Booking.com,,174.0500030517578
58,10-01-2023,26-02-2023,04-03-2023,1049,1049,0,174,174,0,1223,1223,0,1223,0,284,Florianópolis,Airbnb.com,157.35,
59,24-12-2022,12-01-2023,21-01-2023,2433.6,2433.6,0,254,254,0,2687.6,2687.6,0,2687.6,0,283,Balneário Camboriú,Booking.com,,349.3900146484375
60,05-12-2022,02-01-2023,24-01-2023,0,0,0,0,0,0,0,0,0,0,0,292,Florianópolis,,,
61,03-12-2022,30-12-2022,02-01-2023,3251,3251,0,282,282,0,3533,3533,0,1381.67,0,356,Florianópolis,Airbnb.com,487.65,
62,04-12-2022,12-12-2022,13-12-2022,4572,4572,0,437,437,0,5009,5009,0,5009,0,166,Balneário Camboriú,Airbnb.com,685.8,
63,21-01-2023,06-02-2023,09-02-2023,906,906,0,189,189,0,1095,1095,0,770.1,0,153,Florianópolis,Airbnb.com,135.9,
64,15-01-2023,21-01-2023,25-01-2023,2323,2323,0,289,289,0,2612,2612,0,2612,0,189,Florianópolis,Airbnb.com,348.45,
65,10-01-2023,05-02-2023,06-02-2023,1442,1442,0,279,279,0,1721,1721,0,1721,0,259,Florianópolis,Airbnb.com,216.3,
66,19-01-2023,14-03-2023,19-03-2023,1479,1479,0,259,259,0,1738,1738,0,1738,0,136,Florianópolis,Airbnb.com,221.85,
67,25-01-2023,09-02-2023,13-02-2023,1213.84,1213.84,0,138,138,0,1351.84,1351.84,0,1351.84,0,298,Florianópolis,Booking.com,,175.7400054931641
68,30-11-2022,20-12-2022,27-12-2022,3770,3770,0,282,282,0,4052,4052,0,4052,0,123,Florianópolis,Airbnb.com,565.5,
69,18-12-2022,21-12-2022,24-12-2022,1969,1969,0,280,280,0,2249,2249,0,2249,0,332,Florianópolis,Airbnb.com,295.35,
70,01-01-2023,23-01-2023,31-01-2023,1941,1941,0,274,274,0,2215,2215,0,2215,0,148,Florianópolis,Airbnb.com,291.15,
71,12-01-2023,25-02-2023,26-02-2023,431.25,431.25,0,0,0,0,431.25,431.25,0,431.25,0,110,Florianópolis,,,
72,13-01-2023,14-01-2023,18-01-2023,801.74,801.74,0,182,182,0,983.74,983.74,0,983.74,0,347,Florianópolis,Booking.com,,127.8899993896484
73,08-01-2023,22-01-2023,26-01-2023,1219.93,1219.93,0,164,164,0,1383.93,1383.93,0,1383.93,0,162,Florianópolis,Booking.com,,179.9100036621094
74,10-12-2022,17-12-2022,21-12-2022,5266,5266,0,274,274,0,5540,5540,0,5540,0,104,Florianópolis,Airbnb.com,789.9,
75,04-12-2022,08-12-2022,13-12-2022,598,598,0,137,137,0,735,735,0,735,0,258,Florianópolis,Booking.com,,95.55000305175781
76,20-12-2022,24-01-2023,25-01-2023,3673.38,3673.38,0,210,210,0,3883.38,3883.38,0,3883.38,0,115,Florianópolis,Booking.com,,504.8399963378906
77,09-01-2023,08-02-2023,16-02-2023,642.48,642.48,0,149,149,0,791.48,791.48,0,791.48,0,169,Florianópolis,Booking.com,,102.8899993896484
78,18-01-2023,19-01-2023,28-01-2023,1362,1362,0,262,262,0,1624,1624,0,1624,0,262,Florianópolis,Airbnb.com,204.3,
79,19-01-2023,10-03-2023,26-03-2023,1042,1042,0,219,219,0,1261,1261,0,1261,0,161,Florianópolis,Airbnb.com,156.3,
80,28-12-2022,17-02-2023,18-02-2023,0,0,0,0,0,0,0,0,0,0,0,129,Florianópolis,,,
81,17-01-2023,10-02-2023,15-02-2023,0,0,0,0,0,0,0,0,0,0,0,113,Florianópolis,,,
82,27-12-2022,18-02-2023,19-02-2023,912.61,912.61,0,146,146,0,1058.61,1058.61,0,0,0,319,Florianópolis,Booking.com,,137.6199951171875
83,14-12-2022,15-12-2022,25-12-2022,912.61,912.61,0,146,146,0,1058.61,1058.61,0,0,0,177,Florianópolis,Booking.com,,137.6199951171875
84,13-12-2022,24-01-2023,31-01-2023,0,0,0,0,0,0,0,0,0,0,0,367,Florianópolis,,,
85,04-12-2022,04-01-2023,11-01-2023,3380.3,3380.3,0,172,172,0,3552.3,3552.3,0,0,0,320,Florianópolis,Anfitrioesdealuguel.com.br,338.03,
86,30-12-2022,05-01-2023,08-01-2023,925,925,0,183,183,0,1108,1108,0,1108,0,381,Florianópolis,Airbnb.com,138.75,
87,16-01-2023,17-01-2023,21-01-2023,1586.1,1586.1,0,182,182,0,1768.1,1768.1,0,1768.1,0,322,Florianópolis,Airbnb.com,237.914,
88,21-12-2022,16-02-2023,22-02-2023,0,0,0,0,0,0,0,0,0,0,0,225,Florianópolis,,,
89,09-01-2023,19-01-2023,26-01-2023,0,0,0,0,0,0,0,0,0,0,0,228,Florianópolis,,,
90,28-12-2022,25-12-2022,26-12-2022,3634.19,3634.19,0,282,282,0,3916.19,3916.19,0,3916.19,0,366,Florianópolis,Booking.com,,509.1000061035156
91,17-12-2022,15-01-2023,21-01-2023,4024,4024,0,213,213,0,4237,4237,0,4237,0,371,Florianópolis,Airbnb.com,603.6,
92,09-01-2023,02-02-2023,05-02-2023,297,297,0,0,0,0,297,297,0,297,0,116,Florianópolis,,,
93,09-12-2022,22-01-2023,30-01-2023,1195,1195,0,212,212,0,1407,1407,0,1407,0,101,Florianópolis,Airbnb.com,179.25,
94,18-12-2022,30-12-2022,02-01-2023,0,0,0,0,0,0,0,0,0,0,0,330,Florianópolis,,,
95,25-01-2023,08-03-2023,16-03-2023,0,0,0,0,0,0,0,0,0,0,0,398,Florianópolis,,,
96,23-01-2023,25-02-2023,09-03-2023,0,0,0,0,0,0,0,0,0,0,0,382,Florianópolis,,,
97,01-12-2022,24-12-2022,25-12-2022,475,475,0,0,0,0,475,475,0,0,950,217,Florianópolis,,,
98,19-12-2022,19-12-2022,20-12-2022,970.73,970.73,0,182,182,0,1152.73,1152.73,0,0,0,186,Florianópolis,Booking.com,,149.8500061035156
99,24-01-2023,01-03-2023,02-03-2023,1094.4,1094.4,0,236,236,0,1330.4,1330.4,0,1330.4,0,400,Florianópolis,Airbnb.com,164.16,
100,24-01-2023,17-02-2023,22-02-2023,1534,1534,0,304,304,0,1838,1838,0,1838,0,282,Florianópolis,Airbnb.com,230.1,
101,20-01-2023,17-02-2023,21-02-2023,0,0,0,0,0,0,0,0,0,0,0,182,Florianópolis,,,
102,02-01-2023,10-02-2023,16-02-2023,3256,3256,0,281,281,0,3537,3537,0,3537,0,163,Florianópolis,Airbnb.com,488.4,
103,24-12-2022,05-02-2023,06-02-2023,0,0,0,0,0,0,0,0,0,0,0,109,Florianópolis,,,
104,05-01-2023,22-02-2023,27-02-2023,1149.21,1149.21,0,193,193,0,1342.21,1342.21,0,1342.21,0,102,Florianópolis,Booking.com,,174.4900054931641
105,12-01-2023,15-03-2023,23-03-2023,2802.69,2802.69,0,288,288,0,3090.69,3090.69,0,3090.69,0,352,Florianópolis,Booking.com,,401.7900085449219
106,02-12-2022,02-12-2022,06-12-2022,1027.2,1027.2,0,236,236,0,1263.2,1263.2,0,0,0,169,Balneário Camboriú,Airbnb.com,154.079,
107,21-12-2022,18-01-2023,27-01-2023,2568,2568,0,289,289,0,2857,2857,0,2857,0,318,Florianópolis,Airbnb.com,385.2,
108,11-12-2022,11-02-2023,12-02-2023,1684,1684,0,265,265,0,1949,1949,0,1949,0,317,Florianópolis,Airbnb.com,252.6,
109,30-11-2022,26-12-2022,31-12-2022,1950,1950,0,281,281,0,2231,2231,0,2231,0,195,Florianópolis,Airbnb.com,292.5,
110,13-12-2022,15-12-2022,16-12-2022,1537.22,1537.22,0,219,219,0,1756.22,1756.22,0,1756.22,0,259,Florianópolis,Booking.com,,228.3099975585938
111,14-01-2023,02-02-2023,05-02-2023,3238.4,3238.4,0,236,236,0,3474.4,3474.4,0,3474.4,0,322,Florianópolis,Airbnb.com,485.759,
112,26-12-2022,05-01-2023,06-01-2023,3569.3,3569.3,0,282,282,0,3851.3,3851.3,0,3851.3,0,392,Florianópolis,Booking.com,,500.6700134277344
113,01-12-2022,14-12-2022,19-12-2022,1784.64,1784.64,0,206,206,0,1990.64,1990.64,0,1990.64,0,156,Florianópolis,Booking.com,,258.7799987792969
114,19-01-2023,20-01-2023,22-01-2023,3870.78,3870.78,0,308,308,0,4178.78,4178.78,0,4178.78,0,271,Florianópolis,Booking.com,,543.239990234375
115,21-12-2022,30-12-2022,03-01-2023,1596.72,1596.72,0,236,236,0,1832.72,1832.72,0,1832.72,0,237,Florianópolis,Booking.com,,238.25
116,06-12-2022,22-01-2023,28-01-2023,0,0,0,0,0,0,0,0,0,0,0,266,Florianópolis,,,
117,13-12-2022,29-12-2022,02-01-2023,0,0,0,0,0,0,0,0,0,0,0,204,Florianópolis,,,
118,18-01-2023,17-03-2023,22-03-2023,1993,1993,0,180,180,0,2173,2173,0,0,0,342,Florianópolis,Booking.com,,282.489990234375
119,29-12-2022,30-12-2022,02-01-2023,2405,2405,0,253,253,0,2658,2658,0,2658,0,342,Florianópolis,Airbnb.com,360.75,
120,30-11-2022,20-12-2022,26-12-2022,0,0,0,0,0,0,0,0,0,0,0,222,Florianópolis,,,
121,28-11-2022,06-12-2022,12-12-2022,0,0,0,0,0,0,0,0,0,0,0,111,Florianópolis,,,
122,08-01-2023,06-04-2023,13-04-2023,1130,1130,0,200,200,0,1330,1330,0,1330,0,169,Florianópolis,Airbnb.com,169.5,
123,21-01-2023,05-02-2023,06-02-2023,0,0,0,0,0,0,0,0,0,0,0,297,Florianópolis,Anfitrioesdealuguel.com.br,0,
124,05-01-2023,16-02-2023,17-02-2023,1287.5,1287.5,0,152,152,0,1439.5,1439.5,0,1439.5,0,355,Florianópolis,Booking.com,,187.1300048828125
125,12-12-2022,29-12-2022,30-12-2022,1251,1251,0,294,294,0,1545,1545,0,1545,0,387,Florianópolis,Airbnb.com,187.65,
126,06-01-2023,08-01-2023,31-01-2023,4870,4870,0,795,795,0,5665,5665,0,5665,0,233,Florianópolis,Airbnb.com,730.5,
127,06-01-2023,01-03-2023,02-03-2023,4053,4053,0,262,262,0,4315,4315,0,4315,0,188,Balneário Camboriú,Airbnb.com,607.95,
128,25-01-2023,29-01-2023,04-02-2023,1737,1737,0,262,262,0,1999,1999,0,1999,0,360,Florianópolis,Airbnb.com,260.55,
129,16-12-2022,12-01-2023,15-01-2023,0,0,0,0,0,0,0,0,0,0,0,347,Florianópolis,,,
130,18-01-2023,09-02-2023,12-02-2023,0,0,0,0,0,0,0,0,0,0,0,122,Florianópolis,,,
131,20-01-2023,07-02-2023,08-02-2023,1099.22,1099.22,0,170,170,0,1269.22,1269.22,0,1269.22,0,189,Florianópolis,Booking.com,,165
132,01-12-2022,09-12-2022,19-12-2022,3069,3069,0,336,336,0,3405,3405,0,0,0,142,Florianópolis,Airbnb.com,460.35,
133,08-01-2023,21-01-2023,28-01-2023,2790,2790,0,437,437,0,3227,3227,0,3227,0,313,Florianópolis,Airbnb.com,418.5,
134,12-12-2022,02-01-2023,03-01-2023,2141.74,2141.74,0,172,172,0,2313.74,2313.74,0,2313.74,0,384,Florianópolis,Booking.com,,300.7900085449219
135,31-12-2022,04-01-2023,09-01-2023,12857.5,12857.5,0,351,351,0,13208.5,13208.5,0,13208.5,0,270,Florianópolis,Booking.com,,1717.109985351562
136,27-12-2022,17-02-2023,24-02-2023,2232.15,2232.15,0,271,271,0,2503.15,2503.15,0,2503.15,0,243,Florianópolis,Booking.com,,325.4100036621094
137,03-01-2023,07-02-2023,17-02-2023,1540,1540,0,174,174,0,1714,1714,0,1714,0,246,Florianópolis,Airbnb.com,231,
138,21-01-2023,18-02-2023,21-02-2023,880,880,0,180,180,0,1060,1060,0,1060,0,187,Florianópolis,Airbnb.com,132,
139,08-01-2023,09-01-2023,14-01-2023,0,0,0,0,0,0,0,0,0,0,0,195,Florianópolis,,,
140,08-01-2023,09-01-2023,13-01-2023,2757.6,2757.6,0,401,401,0,3158.6,3158.6,0,3158.6,0,235,Florianópolis,Airbnb.com,413.64,
141,16-12-2022,28-01-2023,11-02-2023,3388.11,3388.11,0,206,206,0,3594.11,3594.11,0,3594.11,0,124,Florianópolis,Booking.com,,467.2300109863281
142,02-12-2022,07-12-2022,11-12-2022,1661.61,1661.61,0,237,237,0,1898.61,1898.61,0,1898.61,0,336,Florianópolis,Booking.com,,246.8200073242188
143,27-11-2022,15-01-2023,21-01-2023,2278.95,2278.95,0,228,228,0,2506.95,2506.95,0,0,0,300,Florianópolis,Anfitrioesdealuguel.com.br,227.894,
144,07-01-2023,24-01-2023,03-02-2023,3278,3278,0,187,187,0,3465,3465,0,3465,0,112,Florianópolis,Booking.com,,450.4500122070312
145,07-12-2022,06-02-2023,10-02-2023,6087,6087,0,304,304,0,6391,6391,0,6391,0,313,Florianópolis,Airbnb.com,913.05,
146,10-12-2022,28-12-2022,05-01-2023,1615,1615,0,282,282,0,1897,1897,0,1897,0,332,Florianópolis,Airbnb.com,242.25,
147,03-01-2023,20-01-2023,21-01-2023,0,0,0,0,0,0,0,0,0,0,0,327,Florianópolis,,,
148,07-12-2022,08-12-2022,10-12-2022,0,0,0,0,0,0,0,0,0,0,0,320,Florianópolis,,,
149,12-12-2022,18-12-2022,22-12-2022,3575,3575,0,172,172,0,3747,3747,0,0,0,342,Florianópolis,Airbnb.com,536.25,
150,21-12-2022,17-01-2023,20-01-2023,1368.82,1368.82,0,0,0,0,1368.82,1368.82,0,0,1368.82,232,Florianópolis,,,
151,10-01-2023,11-01-2023,19-01-2023,5290,5290,0,297,297,0,5587,5587,0,5587,0,245,Florianópolis,Airbnb.com,793.5,
152,16-01-2023,07-02-2023,15-02-2023,1913,1913,0,271,271,0,2184,2184,0,2184,0,250,Balneário Camboriú,Airbnb.com,286.95,
153,29-11-2022,16-01-2023,25-01-2023,1890.1,1890.1,0,187,187,0,2077.1,2077.1,0,2077.1,0,158,Florianópolis,Booking.com,,270.0199890136719
154,19-12-2022,04-01-2023,09-01-2023,4104.66,4104.66,0,423,423,0,4527.66,4527.66,0,4527.66,0,130,Florianópolis,Booking.com,,588.5999755859375
155,27-11-2022,30-11-2022,01-12-2022,2697,2697,0,168,168,0,2865,2865,0,2865,0,278,Florianópolis,Airbnb.com,442.57,442.5700073242188
156,30-12-2022,31-12-2022,05-01-2023,3430.03,3430.03,0,251,251,0,3681.03,3681.03,0,3681.03,0,283,Florianópolis,Booking.com,,478.5299987792969
157,26-12-2022,20-01-2023,21-01-2023,3294,3294,0,333,333,0,3627,3627,0,3627,0,365,Florianópolis,Airbnb.com,560.29,560.2899780273438
158,01-12-2022,28-01-2023,29-01-2023,2145.62,2145.62,0,262,262,0,2407.62,2407.62,0,2407.62,0,351,Florianópolis,Booking.com,,312.989990234375
159,08-12-2022,27-12-2022,31-12-2022,0,0,0,0,0,0,0,0,0,0,0,183,Florianópolis,,,
160,20-12-2022,21-01-2023,29-01-2023,0,0,0,0,0,0,0,0,0,0,0,350,Florianópolis,,,
161,22-01-2023,18-02-2023,21-02-2023,4887,4887,0,303,303,0,5190,5190,0,5190,0,105,Florianópolis,Airbnb.com,570.15,
162,05-12-2022,22-01-2023,23-01-2023,2847,2847,0,259,259,0,3106,3106,0,3106,0,134,Florianópolis,Airbnb.com,427.05,
163,20-01-2023,30-01-2023,30-04-2023,2145.62,2145.62,0,186,186,0,2331.62,2331.62,0,2331.62,0,228,Florianópolis,Booking.com,,303.1099853515625
164,13-12-2022,29-01-2023,10-02-2023,49,49,0,0,0,0,49,49,0,0,49,119,Itapema,,,
165,04-01-2023,22-02-2023,23-02-2023,0,0,0,0,0,0,0,0,0,0,0,330,Florianópolis,,,
166,23-12-2022,19-01-2023,20-01-2023,2789,2789,0,151,151,0,2940,2940,0,2940,0,342,Florianópolis,Airbnb.com,418.35,
167,07-01-2023,26-01-2023,30-01-2023,1754,1754,0,0,0,0,1754,1754,0,0,1754,222,Florianópolis,,,
168,06-01-2023,12-01-2023,16-01-2023,0,0,0,0,0,0,0,0,0,0,0,341,Florianópolis,,,
169,06-01-2023,16-02-2023,21-02-2023,1533,1533,0,247,247,0,1780,1780,0,1780,0,139,Florianópolis,Airbnb.com,229.95,
170,24-01-2023,27-01-2023,30-01-2023,0,0,0,0,0,0,0,0,0,0,0,162,Florianópolis,,,
171,17-12-2022,17-12-2022,23-12-2022,2295,2295,0,206,206,0,2501,2501,0,2501,0,254,Itapema,Airbnb.com,386.36,386.3599853515625
172,08-01-2023,16-02-2023,17-02-2023,0,0,0,0,0,0,0,0,0,0,0,139,Bombinhas,,,
173,07-12-2022,23-01-2023,24-01-2023,3958,3958,0,228,228,0,4186,4186,0,4186,0,260,Florianópolis,Airbnb.com,593.7,
174,05-12-2022,02-02-2023,03-02-2023,632.3200000000001,632.3200000000001,0,170,170,0,802.3200000000001,802.3200000000001,0,802.3200000000001,0,205,Florianópolis,Booking.com,,104.3000030517578
175,19-12-2022,11-01-2023,17-01-2023,1598,1598,0,266,266,0,1864,1864,0,1864,0,202,Florianópolis,Airbnb.com,239.7,
176,08-01-2023,15-02-2023,16-02-2023,3036,3036,0,0,0,0,3036,3036,0,0,3036,143,Florianópolis,,,
177,13-01-2023,01-02-2023,05-02-2023,7637,7637,0,348,348,0,7985,7985,0,7985,0,219,Florianópolis,Airbnb.com,1145.55,
178,04-12-2022,04-12-2022,06-12-2022,3496,3496,0,705,705,0,4201,4201,0,4201,0,341,Florianópolis,Airbnb.com,524.4,
179,19-12-2022,26-12-2022,03-01-2023,0,0,0,0,0,0,0,0,0,0,0,352,Florianópolis,,,
180,24-12-2022,15-02-2023,16-02-2023,0,0,0,0,0,0,0,0,0,0,0,335,Florianópolis,,,
181,24-01-2023,26-01-2023,30-01-2023,1510,1510,0,274,274,0,1784,1784,0,1784,0,400,Balneário Camboriú,Airbnb.com,275.59,275.5899963378906
182,30-11-2022,20-12-2022,27-12-2022,4138.48,4138.48,0,376,376,0,4514.48,4514.48,0,4514.48,0,317,Florianópolis,Booking.com,,586.8800048828125
183,21-01-2023,13-02-2023,19-02-2023,0,0,0,252,252,0,252,252,0,0,252,182,Itapema,,,
184,27-11-2022,02-12-2022,05-12-2022,0,0,0,0,0,0,0,0,0,0,0,113,Florianópolis,,,
185,04-12-2022,29-12-2022,02-01-2023,0,0,0,0,0,0,0,0,0,0,0,362,Florianópolis,,,
186,02-12-2022,26-12-2022,02-01-2023,33372.99,33372.99,0,279,279,0,33651.99,33651.99,0,33651.99,0,290,Florianópolis,Airbnb.com,5005.948,
187,21-12-2022,24-01-2023,29-01-2023,2395,2395,0,164,164,0,2559,2559,0,2559,0,150,Florianópolis,Airbnb.com,359.25,
188,20-12-2022,09-03-2023,16-03-2023,0,0,0,0,0,0,0,0,0,0,0,262,Florianópolis,,,
189,21-12-2022,09-02-2023,16-02-2023,0,0,0,0,0,0,0,0,0,0,0,124,Florianópolis,,,
190,03-12-2022,15-12-2022,18-12-2022,2859,2859,0,333,333,0,3192,3192,0,3192,0,306,Florianópolis,Airbnb.com,428.85,
